PERIOD,TYPE,MAIN_STAFF_GROUP,STAFF_GROUP,GRADE,AGE_BAND,HC,FTE
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Hospital Practitioner / Clinical Assistant,Hospital Practitioner / Clinical Assistant,55 to 64,758,209.21662
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Hospital Practitioner / Clinical Assistant,Hospital Practitioner / Clinical Assistant,65 and over,154,42.85036
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Other HCHS doctor grades,Other HCHS Doctor Grades,All age bands,1848,1206.34998
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Other HCHS doctor grades,Other HCHS Doctor Grades,Under 25,12,11.97143
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Other HCHS doctor grades,Other HCHS Doctor Grades,25 to 34,312,230.44241
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Other HCHS doctor grades,Other HCHS Doctor Grades,35 to 44,461,297.70003
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Other HCHS doctor grades,Other HCHS Doctor Grades,45 to 54,632,398.86313
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Other HCHS doctor grades,Other HCHS Doctor Grades,55 to 64,380,244.86758
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,HCHS doctors - Other HCHS doctor grades,Other HCHS Doctor Grades,65 and over,51,22.5054
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,All grades,All age bands,315750,278891.64984
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,All grades,Under 25,11876,11713.8071
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,All grades,25 to 34,64299,58934.25198
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,All grades,35 to 44,100034,87412.39841
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,All grades,45 to 54,102425,90791.4952
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,All grades,55 to 64,35342,28964.64282
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,All grades,65 and over,1774,1075.05433
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 1,All age bands,4,4.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 1,25 to 34,1,1.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 1,45 to 54,3,3.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 2,All age bands,24,24.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 2,Under 25,5,5.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 2,25 to 34,10,10.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 2,35 to 44,3,3.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 2,45 to 54,6,6.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 3,All age bands,33,32.52
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 3,Under 25,3,3.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 3,25 to 34,9,9.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 3,35 to 44,13,12.72
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 3,45 to 54,8,7.8
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 4,All age bands,422,405.24212
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 4,Under 25,111,111.0
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 4,25 to 34,187,181.48
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 4,35 to 44,63,60.01547
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 4,45 to 54,44,37.20665
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 4,55 to 64,17,15.54
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 5,All age bands,161003,140130.91344
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 5,Under 25,11453,11290.0535
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 5,25 to 34,43841,39909.52981
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 5,35 to 44,48978,42242.52943
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 5,45 to 54,40502,34207.91124
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 5,55 to 64,15365,11952.15894
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 5,65 and over,864,528.73052
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 6,All age bands,89329,76577.68365
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 6,Under 25,262,251.63014
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 6,25 to 34,15589,14151.73443
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 6,35 to 44,30142,25700.62373
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 6,45 to 54,31490,27218.82755
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 6,55 to 64,11195,8896.29853
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 6,65 and over,651,358.56927
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 7,All age bands,50298,45525.5425
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 7,Under 25,4,3.23013
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 7,25 to 34,4220,3910.21315
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 7,35 to 44,16601,14777.41882
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 7,45 to 54,22419,20645.75339
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 7,55 to 64,6858,6051.41462
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 7,65 and over,196,137.51239
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 8a,All age bands,10478,9933.46019
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 8a,25 to 34,386,368.08373
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 8a,35 to 44,3220,3025.90623
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 8a,45 to 54,5494,5267.79123
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 8a,55 to 64,1347,1246.70779
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 8a,65 and over,31,24.97121
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 8b,All age bands,3196,3079.56195
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 8b,25 to 34,42,41.0904
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 8b,35 to 44,748,716.32846
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 8b,45 to 54,1975,1916.75065
200909 to 201009,Denominator at end of period,Professionally qualified clinical staff,Nurses & health visitors,Band 8b,55 to 64,422,397.56001
