PERIOD,TYPE,MAIN_STAFF_GROUP,STAFF_GROUP,GRADE,AGE_BAND,HC,FTE
202209 to 202309,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 7,45 to 54,33,33.0
202209 to 202309,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 7,55 to 64,26,24.8
202209 to 202309,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 7,65 and over,5,4.6
202209 to 202309,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 8a,All age bands,27,26.84
202209 to 202309,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 8a,25 to 34,5,4.90667
202209 to 202309,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 8a,35 to 44,6,5.93333
202209 to 202309,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 8a,45 to 54,13,13.0
202209 to 202309,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 8a,55 to 64,3,3.0
202209 to 202309,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 8b,All age bands,5,5.0
202209 to 202309,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 8b,35 to 44,2,2.0
202209 to 202309,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 8b,45 to 54,2,2.0
202209 to 202309,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 8b,55 to 64,1,1.0
202209 to 202309,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 8c,All age bands,2,2.0
202209 to 202309,Joiners,NHS infrastructure support,"Hotel, property & estates",Band 8c,45 to 54,2,2.0
202209 to 202309,Joiners,NHS infrastructure support,"Hotel, property & estates",Non AfC Grade,All age bands,1465,1166.63232
202209 to 202309,Joiners,NHS infrastructure support,"Hotel, property & estates",Non AfC Grade,Under 25,232,176.24777
202209 to 202309,Joiners,NHS infrastructure support,"Hotel, property & estates",Non AfC Grade,25 to 34,298,224.42337
202209 to 202309,Joiners,NHS infrastructure support,"Hotel, property & estates",Non AfC Grade,35 to 44,344,272.4073
202209 to 202309,Joiners,NHS infrastructure support,"Hotel, property & estates",Non AfC Grade,45 to 54,293,243.50959
202209 to 202309,Joiners,NHS infrastructure support,"Hotel, property & estates",Non AfC Grade,55 to 64,263,223.15762
202209 to 202309,Joiners,NHS infrastructure support,"Hotel, property & estates",Non AfC Grade,65 and over,35,26.88667
202209 to 202309,Joiners,Unknown classification,Unknown classification,All grades,All age bands,413,401.35171
202209 to 202309,Joiners,Unknown classification,Unknown classification,All grades,Under 25,79,78.72
202209 to 202309,Joiners,Unknown classification,Unknown classification,All grades,25 to 34,186,182.88466
202209 to 202309,Joiners,Unknown classification,Unknown classification,All grades,35 to 44,106,101.66205
202209 to 202309,Joiners,Unknown classification,Unknown classification,All grades,45 to 54,33,31.3
202209 to 202309,Joiners,Unknown classification,Unknown classification,All grades,55 to 64,9,6.785
202209 to 202309,Joiners,Unknown classification,Unknown classification,Band 2,All age bands,1,1.0
202209 to 202309,Joiners,Unknown classification,Unknown classification,Band 2,Under 25,1,1.0
202209 to 202309,Joiners,Unknown classification,Unknown classification,Band 3,All age bands,227,222.05333
202209 to 202309,Joiners,Unknown classification,Unknown classification,Band 3,Under 25,58,57.8
202209 to 202309,Joiners,Unknown classification,Unknown classification,Band 3,25 to 34,92,90.50666
202209 to 202309,Joiners,Unknown classification,Unknown classification,Band 3,35 to 44,52,50.38667
202209 to 202309,Joiners,Unknown classification,Unknown classification,Band 3,45 to 54,18,17.6
202209 to 202309,Joiners,Unknown classification,Unknown classification,Band 3,55 to 64,7,5.76
202209 to 202309,Joiners,Unknown classification,Unknown classification,Band 4,All age bands,144,143.13333
202209 to 202309,Joiners,Unknown classification,Unknown classification,Band 4,Under 25,8,7.92
202209 to 202309,Joiners,Unknown classification,Unknown classification,Band 4,25 to 34,78,77.45333
202209 to 202309,Joiners,Unknown classification,Unknown classification,Band 4,35 to 44,46,45.76
202209 to 202309,Joiners,Unknown classification,Unknown classification,Band 4,45 to 54,11,11.0
202209 to 202309,Joiners,Unknown classification,Unknown classification,Band 4,55 to 64,1,1.0
202209 to 202309,Joiners,Unknown classification,Unknown classification,Band 5,All age bands,1,1.0
202209 to 202309,Joiners,Unknown classification,Unknown classification,Band 5,Under 25,1,1.0
202209 to 202309,Joiners,Unknown classification,Unknown classification,Band 6,All age bands,4,4.0
202209 to 202309,Joiners,Unknown classification,Unknown classification,Band 6,25 to 34,2,2.0
202209 to 202309,Joiners,Unknown classification,Unknown classification,Band 6,35 to 44,1,1.0
202209 to 202309,Joiners,Unknown classification,Unknown classification,Band 6,45 to 54,1,1.0
202209 to 202309,Joiners,Unknown classification,Unknown classification,Band 8d,All age bands,10,8.96538
202209 to 202309,Joiners,Unknown classification,Unknown classification,Band 8d,25 to 34,6,6.0
202209 to 202309,Joiners,Unknown classification,Unknown classification,Band 8d,35 to 44,3,2.36538
202209 to 202309,Joiners,Unknown classification,Unknown classification,Band 8d,45 to 54,1,0.6
202209 to 202309,Joiners,Unknown classification,Unknown classification,Non AfC Grade,All age bands,26,21.19967
202209 to 202309,Joiners,Unknown classification,Unknown classification,Non AfC Grade,Under 25,11,11.0
202209 to 202309,Joiners,Unknown classification,Unknown classification,Non AfC Grade,25 to 34,8,6.92467
202209 to 202309,Joiners,Unknown classification,Unknown classification,Non AfC Grade,35 to 44,4,2.15
202209 to 202309,Joiners,Unknown classification,Unknown classification,Non AfC Grade,45 to 54,2,1.1
202209 to 202309,Joiners,Unknown classification,Unknown classification,Non AfC Grade,55 to 64,1,0.025
202209 to 202309,Leavers,All staff groups,All staff groups,All grades,All age bands,153602,132250.06797
202209 to 202309,Leavers,All staff groups,All staff groups,All grades,Under 25,14016,13013.81681
202209 to 202309,Leavers,All staff groups,All staff groups,All grades,25 to 34,59167,54102.18354
202209 to 202309,Leavers,All staff groups,All staff groups,All grades,35 to 44,31100,26510.90283
202209 to 202309,Leavers,All staff groups,All staff groups,All grades,45 to 54,18235,15493.1048
202209 to 202309,Leavers,All staff groups,All staff groups,All grades,55 to 64,22088,16916.40149
202209 to 202309,Leavers,All staff groups,All staff groups,All grades,65 and over,8996,6213.6585
202209 to 202309,Leavers,Professionally qualified clinical staff,All staff groups,All grades,All age bands,81366,71386.24871
202209 to 202309,Leavers,Professionally qualified clinical staff,All staff groups,All grades,Under 25,4388,4305.34307
202209 to 202309,Leavers,Professionally qualified clinical staff,All staff groups,All grades,25 to 34,37541,35085.94473
202209 to 202309,Leavers,Professionally qualified clinical staff,All staff groups,All grades,35 to 44,18385,15847.49478
202209 to 202309,Leavers,Professionally qualified clinical staff,All staff groups,All grades,45 to 54,8707,7331.50937
202209 to 202309,Leavers,Professionally qualified clinical staff,All staff groups,All grades,55 to 64,9687,7110.53826
202209 to 202309,Leavers,Professionally qualified clinical staff,All staff groups,All grades,65 and over,2658,1705.4185
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - All grades,All grades,All age bands,21369,19896.09554
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - All grades,All grades,Under 25,1195,1194.71875
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - All grades,All grades,25 to 34,11790,11487.82254
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - All grades,All grades,35 to 44,5279,4815.49834
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - All grades,All grades,45 to 54,1458,1238.76781
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - All grades,All grades,55 to 64,1202,872.16612
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - All grades,All grades,65 and over,445,287.12198
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Consultant,Consultant,All age bands,3147,2647.1365
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Consultant,Consultant,25 to 34,123,113.10145
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Consultant,Consultant,35 to 44,1156,1055.6133
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Consultant,Consultant,45 to 54,691,610.32621
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Consultant,Consultant,55 to 64,856,666.99952
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Consultant,Consultant,65 and over,321,201.09602
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Associate Specialist,Associate Specialist,All age bands,158,123.81418
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Associate Specialist,Associate Specialist,25 to 34,2,1.2
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Associate Specialist,Associate Specialist,35 to 44,18,14.8
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Associate Specialist,Associate Specialist,45 to 54,25,20.42091
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Associate Specialist,Associate Specialist,55 to 64,63,49.9326
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Associate Specialist,Associate Specialist,65 and over,50,37.46067
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Specialty Doctor,Specialty Doctor,All age bands,811,653.00923
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Specialty Doctor,Specialty Doctor,25 to 34,208,172.89242
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Specialty Doctor,Specialty Doctor,35 to 44,317,267.77285
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Specialty Doctor,Specialty Doctor,45 to 54,154,116.908
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Specialty Doctor,Specialty Doctor,55 to 64,91,62.38136
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Specialty Doctor,Specialty Doctor,65 and over,41,33.0546
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Staff Grade,Staff Grade,All age bands,68,62.332
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Staff Grade,Staff Grade,25 to 34,23,22.05
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Staff Grade,Staff Grade,35 to 44,32,30.25
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Staff Grade,Staff Grade,45 to 54,7,6.45
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Staff Grade,Staff Grade,55 to 64,4,1.8
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Staff Grade,Staff Grade,65 and over,2,1.782
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Specialty Registrar,Specialty Registrar,All age bands,8377,8000.55167
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Specialty Registrar,Specialty Registrar,Under 25,5,5.0
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Specialty Registrar,Specialty Registrar,25 to 34,5139,4974.106
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Specialty Registrar,Specialty Registrar,35 to 44,2848,2654.09292
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Specialty Registrar,Specialty Registrar,45 to 54,354,339.54025
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Specialty Registrar,Specialty Registrar,55 to 64,29,26.3125
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Specialty Registrar,Specialty Registrar,65 and over,2,1.5
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Core Training,Core Training,All age bands,3545,3462.76353
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Core Training,Core Training,Under 25,60,59.85
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Core Training,Core Training,25 to 34,2741,2690.1125
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Core Training,Core Training,35 to 44,641,613.68853
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Core Training,Core Training,45 to 54,90,86.7625
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Core Training,Core Training,55 to 64,9,8.35
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Core Training,Core Training,65 and over,4,4.0
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 2,Foundation Doctor Year 2,All age bands,3406,3384.28925
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 2,Foundation Doctor Year 2,Under 25,475,474.93125
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 2,Foundation Doctor Year 2,25 to 34,2830,2813.66425
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 2,Foundation Doctor Year 2,35 to 44,83,79.0125
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 2,Foundation Doctor Year 2,45 to 54,16,15.08125
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 2,Foundation Doctor Year 2,55 to 64,2,1.6
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 1,Foundation Doctor Year 1,All age bands,1347,1337.99375
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 1,Foundation Doctor Year 1,Under 25,654,653.9375
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 1,Foundation Doctor Year 1,25 to 34,660,651.975
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 1,Foundation Doctor Year 1,35 to 44,30,29.4375
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Foundation Doctor Year 1,Foundation Doctor Year 1,45 to 54,3,2.64375
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Hospital Practitioner / Clinical Assistant,Hospital Practitioner / Clinical Assistant,All age bands,344,113.1254
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Hospital Practitioner / Clinical Assistant,Hospital Practitioner / Clinical Assistant,25 to 34,27,9.46225
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Hospital Practitioner / Clinical Assistant,Hospital Practitioner / Clinical Assistant,35 to 44,116,44.78548
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Hospital Practitioner / Clinical Assistant,Hospital Practitioner / Clinical Assistant,45 to 54,85,25.76874
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Hospital Practitioner / Clinical Assistant,Hospital Practitioner / Clinical Assistant,55 to 64,100,28.92691
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Hospital Practitioner / Clinical Assistant,Hospital Practitioner / Clinical Assistant,65 and over,16,4.18202
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Other HCHS doctor grades,Other HCHS Doctor Grades,All age bands,217,111.08003
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Other HCHS doctor grades,Other HCHS Doctor Grades,Under 25,1,1.0
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Other HCHS doctor grades,Other HCHS Doctor Grades,25 to 34,56,39.25867
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Other HCHS doctor grades,Other HCHS Doctor Grades,35 to 44,54,26.04526
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Other HCHS doctor grades,Other HCHS Doctor Grades,45 to 54,38,14.8662
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Other HCHS doctor grades,Other HCHS Doctor Grades,55 to 64,59,25.86323
202209 to 202309,Leavers,Professionally qualified clinical staff,HCHS doctors - Other HCHS doctor grades,Other HCHS Doctor Grades,65 and over,9,4.04667
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,All grades,All age bands,36463,31438.26375
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,All grades,Under 25,1612,1557.98433
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,All grades,25 to 34,15411,14215.0767
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,All grades,35 to 44,7658,6604.41302
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,All grades,45 to 54,4780,4096.33683
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,All grades,55 to 64,5516,4018.04492
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,All grades,65 and over,1486,946.40795
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 2,All age bands,1,1.0
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 2,Under 25,1,1.0
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 4,All age bands,61,60.25333
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 4,Under 25,4,3.61333
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 4,25 to 34,37,36.64
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 4,35 to 44,13,13.0
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 4,45 to 54,7,7.0
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 5,All age bands,19412,16714.90678
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 5,Under 25,1486,1433.531
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 5,25 to 34,9374,8617.13673
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 5,35 to 44,3927,3344.48833
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 5,45 to 54,1897,1542.7815
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 5,55 to 64,2008,1339.43003
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 5,65 and over,720,437.53919
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 6,All age bands,10508,8923.5676
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 6,Under 25,118,115.84
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 6,25 to 34,4460,4064.11901
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 6,35 to 44,2255,1903.48445
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 6,45 to 54,1471,1259.66432
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 6,55 to 64,1746,1282.23083
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 6,65 and over,458,298.22899
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 7,All age bands,4828,4156.38511
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 7,Under 25,4,4.0
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 7,25 to 34,1359,1268.98896
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 7,35 to 44,1122,996.39961
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 7,45 to 54,910,809.79154
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 7,55 to 64,1198,917.36068
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 7,65 and over,235,159.84432
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 8a,All age bands,1235,1094.25417
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 8a,25 to 34,207,197.17867
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 8a,35 to 44,311,288.38535
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 8a,45 to 54,338,310.74614
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 8a,55 to 64,328,265.79013
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 8a,65 and over,51,32.15388
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 8b,All age bands,248,219.73335
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 8b,25 to 34,12,12.0
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 8b,35 to 44,40,35.58667
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 8b,45 to 54,72,67.37334
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 8b,55 to 64,114,96.41334
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 8b,65 and over,10,8.36
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 8c,All age bands,109,100.44667
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 8c,25 to 34,3,3.0
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 8c,35 to 44,9,8.96
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 8c,45 to 54,43,42.5
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 8c,55 to 64,49,42.08667
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 8c,65 and over,5,3.9
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 8d,All age bands,56,50.45332
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 8d,25 to 34,1,1.0
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 8d,35 to 44,2,2.0
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 8d,45 to 54,22,21.65333
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 8d,55 to 64,31,25.79999
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 9,All age bands,29,27.32
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 9,35 to 44,4,4.0
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 9,45 to 54,10,10.0
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Band 9,55 to 64,15,13.32
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Non AfC Grade,All age bands,103,89.94342
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Non AfC Grade,25 to 34,16,15.01333
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Non AfC Grade,35 to 44,10,8.10861
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Non AfC Grade,45 to 54,26,24.82666
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Non AfC Grade,55 to 64,44,35.61325
202209 to 202309,Leavers,Professionally qualified clinical staff,Nurses & health visitors,Non AfC Grade,65 and over,7,6.38157
202209 to 202309,Leavers,Professionally qualified clinical staff,Midwives,All grades,All age bands,2860,2254.6237
202209 to 202309,Leavers,Professionally qualified clinical staff,Midwives,All grades,Under 25,153,144.64666
202209 to 202309,Leavers,Professionally qualified clinical staff,Midwives,All grades,25 to 34,1387,1170.35035
202209 to 202309,Leavers,Professionally qualified clinical staff,Midwives,All grades,35 to 44,566,423.79166
202209 to 202309,Leavers,Professionally qualified clinical staff,Midwives,All grades,45 to 54,259,199.8938
202209 to 202309,Leavers,Professionally qualified clinical staff,Midwives,All grades,55 to 64,395,256.94954
202209 to 202309,Leavers,Professionally qualified clinical staff,Midwives,All grades,65 and over,100,58.99169
202209 to 202309,Leavers,Professionally qualified clinical staff,Midwives,Band 5,All age bands,280,246.97995
202209 to 202309,Leavers,Professionally qualified clinical staff,Midwives,Band 5,Under 25,68,64.61333
202209 to 202309,Leavers,Professionally qualified clinical staff,Midwives,Band 5,25 to 34,157,138.48665
202209 to 202309,Leavers,Professionally qualified clinical staff,Midwives,Band 5,35 to 44,44,35.83998
202209 to 202309,Leavers,Professionally qualified clinical staff,Midwives,Band 5,45 to 54,9,6.73332
202209 to 202309,Leavers,Professionally qualified clinical staff,Midwives,Band 5,55 to 64,2,1.30667
202209 to 202309,Leavers,Professionally qualified clinical staff,Midwives,Band 6,All age bands,2092,1594.08359
202209 to 202309,Leavers,Professionally qualified clinical staff,Midwives,Band 6,Under 25,85,80.03333
202209 to 202309,Leavers,Professionally qualified clinical staff,Midwives,Band 6,25 to 34,1064,875.29708
202209 to 202309,Leavers,Professionally qualified clinical staff,Midwives,Band 6,35 to 44,398,283.10851
202209 to 202309,Leavers,Professionally qualified clinical staff,Midwives,Band 6,45 to 54,182,133.63382
202209 to 202309,Leavers,Professionally qualified clinical staff,Midwives,Band 6,55 to 64,283,176.27248
202209 to 202309,Leavers,Professionally qualified clinical staff,Midwives,Band 6,65 and over,80,45.73837
202209 to 202309,Leavers,Professionally qualified clinical staff,Midwives,Band 7,All age bands,489,387.31349
202209 to 202309,Leavers,Professionally qualified clinical staff,Midwives,Band 7,25 to 34,176,149.56662
202209 to 202309,Leavers,Professionally qualified clinical staff,Midwives,Band 7,35 to 44,124,96.44317
202209 to 202309,Leavers,Professionally qualified clinical staff,Midwives,Band 7,45 to 54,63,52.88666
202209 to 202309,Leavers,Professionally qualified clinical staff,Midwives,Band 7,55 to 64,107,75.66372
202209 to 202309,Leavers,Professionally qualified clinical staff,Midwives,Band 7,65 and over,19,12.75332
202209 to 202309,Leavers,Professionally qualified clinical staff,Midwives,Band 8a,All age bands,27,23.24667
202209 to 202309,Leavers,Professionally qualified clinical staff,Midwives,Band 8a,25 to 34,7,7.0
202209 to 202309,Leavers,Professionally qualified clinical staff,Midwives,Band 8a,35 to 44,7,6.4
202209 to 202309,Leavers,Professionally qualified clinical staff,Midwives,Band 8a,45 to 54,7,6.64
202209 to 202309,Leavers,Professionally qualified clinical staff,Midwives,Band 8a,55 to 64,5,2.70667
202209 to 202309,Leavers,Professionally qualified clinical staff,Midwives,Band 8a,65 and over,1,0.5
202209 to 202309,Leavers,Professionally qualified clinical staff,Midwives,Band 8b,All age bands,2,2.0
202209 to 202309,Leavers,Professionally qualified clinical staff,Midwives,Band 8b,35 to 44,2,2.0
202209 to 202309,Leavers,Professionally qualified clinical staff,Midwives,Band 8c,All age bands,1,1.0
202209 to 202309,Leavers,Professionally qualified clinical staff,Midwives,Band 8c,55 to 64,1,1.0
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,All grades,All age bands,1728,1533.78503
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,All grades,Under 25,127,122.62
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,All grades,25 to 34,772,708.8004
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,All grades,35 to 44,350,303.38332
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,All grades,45 to 54,227,193.80796
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,All grades,55 to 64,221,181.93334
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,All grades,65 and over,31,23.24001
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,Band 5,All age bands,349,333.62043
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,Band 5,Under 25,82,79.0
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,Band 5,25 to 34,203,195.09378
202209 to 202309,Leavers,Professionally qualified clinical staff,Ambulance staff,Band 5,35 to 44,42,38.85332
