DATE,STAFF_GROUP_ORDER,STAFF_GROUP,PAYMENT_TYPE,AMOUNT,SAMPLE_SIZE
2009-09-30,10,HCHS doctors - Foundation Doctor Year 2,PUBGRP_190_OTHER_PAYMENTS,8.07,6063
2009-09-30,11,HCHS doctors - Foundation Doctor Year 1,PUBGRP_010_BASIC_PAY_PER_FTE,1865.5,6072
2009-09-30,11,HCHS doctors - Foundation Doctor Year 1,PUBGRP_020_EARNINGS,2626.46,6065
2009-09-30,11,HCHS doctors - Foundation Doctor Year 1,PUBGRP_030_BASIC_PAY,1856.25,6065
2009-09-30,11,HCHS doctors - Foundation Doctor Year 1,PUBGRP_040_NON_BASIC_PAY_PER_ROLE,770.21,6065
2009-09-30,11,HCHS doctors - Foundation Doctor Year 1,PUBGRP_100_ADDITIONAL_ACTIVITY,6.93,6065
2009-09-30,11,HCHS doctors - Foundation Doctor Year 1,PUBGRP_110_BAND_SUPPLEMENT,710.48,6065
2009-09-30,11,HCHS doctors - Foundation Doctor Year 1,PUBGRP_120_MEDICAL_AWARDS,0.0,6065
2009-09-30,11,HCHS doctors - Foundation Doctor Year 1,PUBGRP_130_GEOGRAPHIC_ALLOWANCE,31.22,6065
2009-09-30,11,HCHS doctors - Foundation Doctor Year 1,PUBGRP_140_LOCAL,16.46,6065
2009-09-30,11,HCHS doctors - Foundation Doctor Year 1,PUBGRP_150_ON_CALL_STANDBY,1.18,6065
2009-09-30,11,HCHS doctors - Foundation Doctor Year 1,PUBGRP_160_OVERTIME_ADH,0.13,6065
2009-09-30,11,HCHS doctors - Foundation Doctor Year 1,PUBGRP_170_RRP,0.0,6065
2009-09-30,11,HCHS doctors - Foundation Doctor Year 1,PUBGRP_180_SHIFT_WORKING,0.0,6065
2009-09-30,11,HCHS doctors - Foundation Doctor Year 1,PUBGRP_190_OTHER_PAYMENTS,3.81,6065
2009-09-30,12,HCHS doctors - Hospital Practitioner / Clinical Assistant,PUBGRP_010_BASIC_PAY_PER_FTE,6454.67,4076
2009-09-30,12,HCHS doctors - Hospital Practitioner / Clinical Assistant,PUBGRP_020_EARNINGS,2126.09,3745
2009-09-30,12,HCHS doctors - Hospital Practitioner / Clinical Assistant,PUBGRP_030_BASIC_PAY,1960.6,3745
2009-09-30,12,HCHS doctors - Hospital Practitioner / Clinical Assistant,PUBGRP_040_NON_BASIC_PAY_PER_ROLE,165.49,3745
2009-09-30,12,HCHS doctors - Hospital Practitioner / Clinical Assistant,PUBGRP_100_ADDITIONAL_ACTIVITY,67.9,3745
2009-09-30,12,HCHS doctors - Hospital Practitioner / Clinical Assistant,PUBGRP_110_BAND_SUPPLEMENT,5.1,3745
2009-09-30,12,HCHS doctors - Hospital Practitioner / Clinical Assistant,PUBGRP_120_MEDICAL_AWARDS,0.03,3745
2009-09-30,12,HCHS doctors - Hospital Practitioner / Clinical Assistant,PUBGRP_130_GEOGRAPHIC_ALLOWANCE,3.61,3745
2009-09-30,12,HCHS doctors - Hospital Practitioner / Clinical Assistant,PUBGRP_140_LOCAL,62.47,3745
2009-09-30,12,HCHS doctors - Hospital Practitioner / Clinical Assistant,PUBGRP_150_ON_CALL_STANDBY,4.21,3745
2009-09-30,12,HCHS doctors - Hospital Practitioner / Clinical Assistant,PUBGRP_160_OVERTIME_ADH,2.03,3745
2009-09-30,12,HCHS doctors - Hospital Practitioner / Clinical Assistant,PUBGRP_170_RRP,0.03,3745
2009-09-30,12,HCHS doctors - Hospital Practitioner / Clinical Assistant,PUBGRP_180_SHIFT_WORKING,0.83,3745
2009-09-30,12,HCHS doctors - Hospital Practitioner / Clinical Assistant,PUBGRP_190_OTHER_PAYMENTS,19.27,3745
2009-09-30,13,HCHS doctors - Other HCHS doctor grades,PUBGRP_010_BASIC_PAY_PER_FTE,5777.75,2102
2009-09-30,13,HCHS doctors - Other HCHS doctor grades,PUBGRP_020_EARNINGS,3645.35,1986
2009-09-30,13,HCHS doctors - Other HCHS doctor grades,PUBGRP_030_BASIC_PAY,3475.83,1986
2009-09-30,13,HCHS doctors - Other HCHS doctor grades,PUBGRP_040_NON_BASIC_PAY_PER_ROLE,169.53,1986
2009-09-30,13,HCHS doctors - Other HCHS doctor grades,PUBGRP_100_ADDITIONAL_ACTIVITY,44.99,1986
2009-09-30,13,HCHS doctors - Other HCHS doctor grades,PUBGRP_110_BAND_SUPPLEMENT,9.59,1986
2009-09-30,13,HCHS doctors - Other HCHS doctor grades,PUBGRP_120_MEDICAL_AWARDS,7.77,1986
2009-09-30,13,HCHS doctors - Other HCHS doctor grades,PUBGRP_130_GEOGRAPHIC_ALLOWANCE,15.31,1986
2009-09-30,13,HCHS doctors - Other HCHS doctor grades,PUBGRP_140_LOCAL,53.88,1986
2009-09-30,13,HCHS doctors - Other HCHS doctor grades,PUBGRP_150_ON_CALL_STANDBY,6.81,1986
2009-09-30,13,HCHS doctors - Other HCHS doctor grades,PUBGRP_160_OVERTIME_ADH,3.06,1986
2009-09-30,13,HCHS doctors - Other HCHS doctor grades,PUBGRP_170_RRP,0.0,1986
2009-09-30,13,HCHS doctors - Other HCHS doctor grades,PUBGRP_180_SHIFT_WORKING,1.15,1986
2009-09-30,13,HCHS doctors - Other HCHS doctor grades,PUBGRP_190_OTHER_PAYMENTS,26.96,1986
2009-09-30,14,Nurses & health visitors,PUBGRP_010_BASIC_PAY_PER_FTE,2403.72,317421
2009-09-30,14,Nurses & health visitors,PUBGRP_020_EARNINGS,2434.55,311001
2009-09-30,14,Nurses & health visitors,PUBGRP_030_BASIC_PAY,2108.06,311001
2009-09-30,14,Nurses & health visitors,PUBGRP_040_NON_BASIC_PAY_PER_ROLE,326.49,311001
2009-09-30,14,Nurses & health visitors,PUBGRP_100_ADDITIONAL_ACTIVITY,16.49,311001
2009-09-30,14,Nurses & health visitors,PUBGRP_110_BAND_SUPPLEMENT,0.01,311001
2009-09-30,14,Nurses & health visitors,PUBGRP_120_MEDICAL_AWARDS,0.0,311001
2009-09-30,14,Nurses & health visitors,PUBGRP_130_GEOGRAPHIC_ALLOWANCE,61.05,311001
2009-09-30,14,Nurses & health visitors,PUBGRP_140_LOCAL,6.11,311001
2009-09-30,14,Nurses & health visitors,PUBGRP_150_ON_CALL_STANDBY,7.65,311001
2009-09-30,14,Nurses & health visitors,PUBGRP_160_OVERTIME_ADH,26.91,311001
2009-09-30,14,Nurses & health visitors,PUBGRP_170_RRP,6.0,311001
2009-09-30,14,Nurses & health visitors,PUBGRP_180_SHIFT_WORKING,191.79,311001
2009-09-30,14,Nurses & health visitors,PUBGRP_190_OTHER_PAYMENTS,10.48,311001
2009-09-30,15,Midwives,PUBGRP_010_BASIC_PAY_PER_FTE,2619.3,23718
2009-09-30,15,Midwives,PUBGRP_020_EARNINGS,2522.48,23245
2009-09-30,15,Midwives,PUBGRP_030_BASIC_PAY,2086.87,23245
2009-09-30,15,Midwives,PUBGRP_040_NON_BASIC_PAY_PER_ROLE,435.61,23245
2009-09-30,15,Midwives,PUBGRP_100_ADDITIONAL_ACTIVITY,25.99,23245
2009-09-30,15,Midwives,PUBGRP_110_BAND_SUPPLEMENT,0.0,23245
2009-09-30,15,Midwives,PUBGRP_120_MEDICAL_AWARDS,0.0,23245
2009-09-30,15,Midwives,PUBGRP_130_GEOGRAPHIC_ALLOWANCE,63.63,23245
2009-09-30,15,Midwives,PUBGRP_140_LOCAL,8.16,23245
2009-09-30,15,Midwives,PUBGRP_150_ON_CALL_STANDBY,24.36,23245
2009-09-30,15,Midwives,PUBGRP_160_OVERTIME_ADH,16.65,23245
2009-09-30,15,Midwives,PUBGRP_170_RRP,5.21,23245
2009-09-30,15,Midwives,PUBGRP_180_SHIFT_WORKING,276.62,23245
2009-09-30,15,Midwives,PUBGRP_190_OTHER_PAYMENTS,14.99,23245
2009-09-30,16,Ambulance staff,PUBGRP_010_BASIC_PAY_PER_FTE,2129.06,16961
2009-09-30,16,Ambulance staff,PUBGRP_020_EARNINGS,2971.09,16946
2009-09-30,16,Ambulance staff,PUBGRP_030_BASIC_PAY,2039.63,16946
2009-09-30,16,Ambulance staff,PUBGRP_040_NON_BASIC_PAY_PER_ROLE,931.46,16946
2009-09-30,16,Ambulance staff,PUBGRP_100_ADDITIONAL_ACTIVITY,9.16,16946
2009-09-30,16,Ambulance staff,PUBGRP_110_BAND_SUPPLEMENT,0.0,16946
2009-09-30,16,Ambulance staff,PUBGRP_120_MEDICAL_AWARDS,0.0,16946
2009-09-30,16,Ambulance staff,PUBGRP_130_GEOGRAPHIC_ALLOWANCE,57.81,16946
2009-09-30,16,Ambulance staff,PUBGRP_140_LOCAL,43.69,16946
2009-09-30,16,Ambulance staff,PUBGRP_150_ON_CALL_STANDBY,9.63,16946
2009-09-30,16,Ambulance staff,PUBGRP_160_OVERTIME_ADH,324.94,16946
2009-09-30,16,Ambulance staff,PUBGRP_170_RRP,2.53,16946
2009-09-30,16,Ambulance staff,PUBGRP_180_SHIFT_WORKING,473.79,16946
2009-09-30,16,Ambulance staff,PUBGRP_190_OTHER_PAYMENTS,9.91,16946
2009-09-30,17,"Scientific, therapeutic & technical staff",PUBGRP_010_BASIC_PAY_PER_FTE,2761.33,138321
2009-09-30,17,"Scientific, therapeutic & technical staff",PUBGRP_020_EARNINGS,2583.29,134407
2009-09-30,17,"Scientific, therapeutic & technical staff",PUBGRP_030_BASIC_PAY,2335.04,134407
2009-09-30,17,"Scientific, therapeutic & technical staff",PUBGRP_040_NON_BASIC_PAY_PER_ROLE,248.25,134407
2009-09-30,17,"Scientific, therapeutic & technical staff",PUBGRP_100_ADDITIONAL_ACTIVITY,15.34,134407
2009-09-30,17,"Scientific, therapeutic & technical staff",PUBGRP_110_BAND_SUPPLEMENT,0.17,134407
2009-09-30,17,"Scientific, therapeutic & technical staff",PUBGRP_120_MEDICAL_AWARDS,0.29,134407
2009-09-30,17,"Scientific, therapeutic & technical staff",PUBGRP_130_GEOGRAPHIC_ALLOWANCE,69.27,134407
2009-09-30,17,"Scientific, therapeutic & technical staff",PUBGRP_140_LOCAL,32.56,134407
2009-09-30,17,"Scientific, therapeutic & technical staff",PUBGRP_150_ON_CALL_STANDBY,74.99,134407
2009-09-30,17,"Scientific, therapeutic & technical staff",PUBGRP_160_OVERTIME_ADH,21.29,134407
2009-09-30,17,"Scientific, therapeutic & technical staff",PUBGRP_170_RRP,5.22,134407
2009-09-30,17,"Scientific, therapeutic & technical staff",PUBGRP_180_SHIFT_WORKING,19.07,134407
2009-09-30,17,"Scientific, therapeutic & technical staff",PUBGRP_190_OTHER_PAYMENTS,10.05,134407
2009-09-30,18,Support to clinical staff,PUBGRP_010_BASIC_PAY_PER_FTE,1427.23,340326
2009-09-30,18,Support to clinical staff,PUBGRP_020_EARNINGS,1371.0,334638
2009-09-30,18,Support to clinical staff,PUBGRP_030_BASIC_PAY,1179.93,334638
2009-09-30,18,Support to clinical staff,PUBGRP_040_NON_BASIC_PAY_PER_ROLE,191.07,334638
2009-09-30,18,Support to clinical staff,PUBGRP_100_ADDITIONAL_ACTIVITY,15.5,334638
2009-09-30,18,Support to clinical staff,PUBGRP_110_BAND_SUPPLEMENT,0.0,334638
2009-09-30,18,Support to clinical staff,PUBGRP_120_MEDICAL_AWARDS,0.0,334638
2009-09-30,18,Support to clinical staff,PUBGRP_130_GEOGRAPHIC_ALLOWANCE,37.49,334638
2009-09-30,18,Support to clinical staff,PUBGRP_140_LOCAL,5.0,334638
2009-09-30,18,Support to clinical staff,PUBGRP_150_ON_CALL_STANDBY,2.82,334638
2009-09-30,18,Support to clinical staff,PUBGRP_160_OVERTIME_ADH,22.26,334638
2009-09-30,18,Support to clinical staff,PUBGRP_170_RRP,1.2,334638
2009-09-30,18,Support to clinical staff,PUBGRP_180_SHIFT_WORKING,101.23,334638
2009-09-30,18,Support to clinical staff,PUBGRP_190_OTHER_PAYMENTS,5.57,334638
2009-09-30,19,"Support to doctors, nurses & midwives",PUBGRP_010_BASIC_PAY_PER_FTE,1411.82,269927
2009-09-30,19,"Support to doctors, nurses & midwives",PUBGRP_020_EARNINGS,1360.48,265540
2009-09-30,19,"Support to doctors, nurses & midwives",PUBGRP_030_BASIC_PAY,1162.46,265540
